Material,Wholesaler,HLs,Dates,Date Difference
10946,29606863,"[16.8, 16.8, 16.8, 79.8, 12.6, 21.0, 16.8, 16.8, 8.4, 16.8, 46.2, 21.0, 54.6, 88.2, 0.6, 16.8, 1.2, 16.8, 16.8, 25.200000000000003, 8.4, 25.2, 21.0, 21.0, 58.8, 50.4, 0.6, 8.4, 16.8, 12.6, 21.0, 8.4, 4.2, 8.4, 12.6, 21.0, 8.4]","[Timestamp('2019-08-12 00:00:00'), Timestamp('2019-08-14 00:00:00'), Timestamp('2019-08-27 00:00:00'), Timestamp('2019-08-30 00:00:00'), Timestamp('2019-10-16 00:00:00'), Timestamp('2019-10-23 00:00:00'), Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-20 00:00:00'), Timestamp('2019-11-22 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-19 00:00:00'), Timestamp('2020-01-17 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-02-27 00:00:00'), Timestamp('2020-06-02 00:00:00'), Timestamp('2020-06-05 00:00:00'), Timestamp('2020-06-09 00:00:00'), Timestamp('2020-06-12 00:00:00'), Timestamp('2020-06-17 00:00:00'), Timestamp('2020-06-22 00:00:00'), Timestamp('2020-06-24 00:00:00'), Timestamp('2020-06-29 00:00:00'), Timestamp('2020-07-08 00:00:00'), Timestamp('2020-07-17 00:00:00'), Timestamp('2020-07-22 00:00:00'), Timestamp('2020-07-27 00:00:00'), Timestamp('2020-08-13 00:00:00'), Timestamp('2020-09-07 00:00:00'), Timestamp('2020-09-17 00:00:00'), Timestamp('2020-09-24 00:00:00'), Timestamp('2020-10-09 00:00:00'), Timestamp('2020-10-15 00:00:00'), Timestamp('2020-10-22 00:00:00'), Timestamp('2020-12-02 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2021-01-11 00:00:00'), Timestamp('2021-02-17 00:00:00')]","[2, 13, 3, 47, 7, 12, 16, 2, 10, 17, 29, 12, 29, 96, 3, 4, 3, 5, 5, 2, 5, 9, 9, 5, 5, 17, 25, 10, 7, 15, 6, 7, 41, 26, 14, 37, 1]"
10946,29378784,"[4.2, 4.2, 4.2, 4.2, 4.2, 4.2, 8.4, 4.2, 4.2, 12.6, 12.6, 4.2, 8.4, 4.2, 4.2, 8.4]","[Timestamp('2019-08-27 00:00:00'), Timestamp('2019-09-13 00:00:00'), Timestamp('2019-10-03 00:00:00'), Timestamp('2019-10-25 00:00:00'), Timestamp('2019-11-21 00:00:00'), Timestamp('2019-12-06 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-02-20 00:00:00'), Timestamp('2020-07-31 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-09-15 00:00:00'), Timestamp('2020-09-30 00:00:00'), Timestamp('2020-11-02 00:00:00'), Timestamp('2020-12-20 00:00:00'), Timestamp('2021-01-08 00:00:00')]","[17, 20, 22, 27, 15, 17, 37, 22, 162, 6, 40, 15, 33, 48, 19, 1]"
10946,29379853,"[42.0, 50.4, 33.6, 21.0, 109.2, 42.0, 71.4, 29.4, 42.0, 25.2, 25.2, 33.6, 58.8, 46.2, 29.4, 4.2, 21.0, 29.4, 21.0, 21.0, 42.0, 21.0, 12.6, 21.0, 33.6, 67.2, 16.8, 16.8, 16.8, 0.063, 21.0, 0.1008, 21.1092, 0.1092, 84.0, 29.4, 42.0, 42.0, 25.2]","[Timestamp('2019-08-01 00:00:00'), Timestamp('2019-08-05 00:00:00'), Timestamp('2019-08-21 00:00:00'), Timestamp('2019-09-10 00:00:00'), Timestamp('2019-09-19 00:00:00'), Timestamp('2019-11-07 00:00:00'), Timestamp('2019-12-05 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-19 00:00:00'), Timestamp('2020-04-07 00:00:00'), Timestamp('2020-04-15 00:00:00'), Timestamp('2020-04-16 00:00:00'), Timestamp('2020-04-27 00:00:00'), Timestamp('2020-05-02 00:00:00'), Timestamp('2020-05-06 00:00:00'), Timestamp('2020-05-07 00:00:00'), Timestamp('2020-05-13 00:00:00'), Timestamp('2020-05-15 00:00:00'), Timestamp('2020-05-20 00:00:00'), Timestamp('2020-05-25 00:00:00'), Timestamp('2020-05-26 00:00:00'), Timestamp('2020-06-04 00:00:00'), Timestamp('2020-06-05 00:00:00'), Timestamp('2020-06-10 00:00:00'), Timestamp('2020-06-19 00:00:00'), Timestamp('2020-06-25 00:00:00'), Timestamp('2020-06-26 00:00:00'), Timestamp('2020-06-29 00:00:00'), Timestamp('2020-07-02 00:00:00'), Timestamp('2020-07-08 00:00:00'), Timestamp('2020-07-21 00:00:00'), Timestamp('2020-07-29 00:00:00'), Timestamp('2020-08-01 00:00:00'), Timestamp('2020-08-14 00:00:00'), Timestamp('2020-09-30 00:00:00'), Timestamp('2020-12-31 00:00:00'), Timestamp('2021-01-11 00:00:00'), Timestamp('2021-02-03 00:00:00'), Timestamp('2021-02-16 00:00:00')]","[4, 16, 20, 9, 49, 28, 61, 15, 48, 8, 1, 11, 5, 4, 1, 6, 2, 5, 5, 1, 9, 1, 5, 9, 6, 1, 3, 3, 6, 13, 8, 3, 13, 47, 92, 11, 23, 13, 1]"
10946,29379855,"[25.2, 4.2, 8.4, 8.4, 8.4, 8.4, 16.8, 8.4, 8.4, 8.4, 12.6, 16.8, 16.8, 8.4, 8.4, 8.4, 12.6, 25.2, 8.4, 8.4, 16.8, 8.4, 4.2, 21.0, 16.8, 16.8, 21.0, 29.4, 16.8, 4.2, 29.4, 16.8, 37.8, 12.6, 25.200000000000003, 50.4, 25.200000000000003, 4.2, 29.4, 42.0, 29.4, 21.0, 8.4, 21.0, 8.4, 29.4, 21.0, 8.4, 8.4, 8.4, 4.2, 21.0, 8.4, 16.8, 16.8, 33.6, 12.6, 12.6, 8.4]","[Timestamp('2019-08-05 00:00:00'), Timestamp('2019-08-12 00:00:00'), Timestamp('2019-08-14 00:00:00'), Timestamp('2019-08-19 00:00:00'), Timestamp('2019-08-27 00:00:00'), Timestamp('2019-08-28 00:00:00'), Timestamp('2019-09-04 00:00:00'), Timestamp('2019-09-09 00:00:00'), Timestamp('2019-09-20 00:00:00'), Timestamp('2019-09-30 00:00:00'), Timestamp('2019-10-07 00:00:00'), Timestamp('2019-10-14 00:00:00'), Timestamp('2019-10-21 00:00:00'), Timestamp('2019-11-05 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-12-03 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-11 00:00:00'), Timestamp('2020-01-09 00:00:00'), Timestamp('2020-01-14 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-18 00:00:00'), Timestamp('2020-02-21 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-10 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-05-06 00:00:00'), Timestamp('2020-05-18 00:00:00'), Timestamp('2020-05-25 00:00:00'), Timestamp('2020-06-03 00:00:00'), Timestamp('2020-06-08 00:00:00'), Timestamp('2020-06-10 00:00:00'), Timestamp('2020-06-15 00:00:00'), Timestamp('2020-06-22 00:00:00'), Timestamp('2020-06-29 00:00:00'), Timestamp('2020-07-02 00:00:00'), Timestamp('2020-07-06 00:00:00'), Timestamp('2020-07-21 00:00:00'), Timestamp('2020-07-28 00:00:00'), Timestamp('2020-08-04 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-08-11 00:00:00'), Timestamp('2020-08-12 00:00:00'), Timestamp('2020-08-18 00:00:00'), Timestamp('2020-08-20 00:00:00'), Timestamp('2020-08-25 00:00:00'), Timestamp('2020-08-27 00:00:00'), Timestamp('2020-09-02 00:00:00'), Timestamp('2020-09-09 00:00:00'), Timestamp('2020-09-14 00:00:00'), Timestamp('2020-09-15 00:00:00'), Timestamp('2020-09-22 00:00:00'), Timestamp('2020-11-13 00:00:00'), Timestamp('2020-12-29 00:00:00'), Timestamp('2021-01-25 00:00:00'), Timestamp('2021-02-08 00:00:00'), Timestamp('2021-02-22 00:00:00')]","[7, 2, 5, 8, 1, 7, 5, 11, 10, 7, 7, 7, 15, 13, 15, 6, 2, 29, 5, 6, 7, 13, 9, 3, 10, 8, 6, 51, 12, 7, 9, 5, 2, 5, 7, 7, 3, 4, 15, 7, 7, 2, 5, 1, 6, 2, 5, 2, 6, 7, 5, 1, 7, 52, 46, 27, 14, 14, 1]"
10946,29379861,"[46.2, 8.4, 71.4, 4.2, 67.2, 21.0, 109.2, 25.2, 25.2, 79.8, 105.0, 12.6, 16.8, 176.39999999999998, 46.2, 8.4, 25.2, 42.0, 63.0, 4.2, 25.2, 25.2, 8.4, 8.4]","[Timestamp('2019-08-12 00:00:00'), Timestamp('2019-08-22 00:00:00'), Timestamp('2019-08-29 00:00:00'), Timestamp('2019-09-24 00:00:00'), Timestamp('2019-10-10 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-21 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-02-19 00:00:00'), Timestamp('2020-03-03 00:00:00'), Timestamp('2020-06-08 00:00:00'), Timestamp('2020-06-11 00:00:00'), Timestamp('2020-07-07 00:00:00'), Timestamp('2020-07-10 00:00:00'), Timestamp('2020-07-15 00:00:00'), Timestamp('2020-07-17 00:00:00'), Timestamp('2020-07-23 00:00:00'), Timestamp('2020-08-11 00:00:00'), Timestamp('2020-08-24 00:00:00'), Timestamp('2020-09-17 00:00:00'), Timestamp('2020-09-21 00:00:00'), Timestamp('2020-09-28 00:00:00'), Timestamp('2020-10-09 00:00:00'), Timestamp('2020-10-21 00:00:00')]","[10, 7, 26, 16, 39, 3, 68, 22, 13, 97, 3, 26, 3, 5, 2, 6, 19, 13, 24, 4, 7, 11, 12, 1]"
10946,29379635,"[12.6, 12.6, 67.2, 4.2, 8.4, 12.6, 16.8, 8.4, 29.4, 12.6, 8.4, 12.6, 4.2, 12.6, 8.4, 12.6, 8.4, 12.6]","[Timestamp('2019-08-05 00:00:00'), Timestamp('2019-08-30 00:00:00'), Timestamp('2019-09-23 00:00:00'), Timestamp('2019-12-26 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-21 00:00:00'), Timestamp('2020-03-13 00:00:00'), Timestamp('2020-05-22 00:00:00'), Timestamp('2020-06-16 00:00:00'), Timestamp('2020-06-23 00:00:00'), Timestamp('2020-07-27 00:00:00'), Timestamp('2020-08-03 00:00:00'), Timestamp('2020-09-10 00:00:00'), Timestamp('2020-10-16 00:00:00'), Timestamp('2020-12-09 00:00:00'), Timestamp('2021-01-11 00:00:00'), Timestamp('2021-02-05 00:00:00')]","[25, 24, 94, 18, 21, 18, 21, 70, 25, 7, 34, 7, 38, 36, 54, 33, 25, 1]"
10946,29379829,"[25.2, 8.4, 29.4, 67.2, 25.2, 16.8, 16.8, 16.8, 25.2, 25.2, 12.6, 67.2, 50.4, 42.0, 50.4, 42.0, 25.2, 29.4, 25.2, 8.4, 21.0, 16.8, 25.2, 25.2, 25.2, 16.8, 16.8, 21.0, 25.2, 8.4, 4.2, 8.4, 16.8, 12.6, 12.6, 8.4, 25.2, 12.6, 8.4, 8.4, 8.4]","[Timestamp('2019-08-09 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-08-26 00:00:00'), Timestamp('2019-08-27 00:00:00'), Timestamp('2019-09-03 00:00:00'), Timestamp('2019-09-24 00:00:00'), Timestamp('2019-10-14 00:00:00'), Timestamp('2019-10-21 00:00:00'), Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-15 00:00:00'), Timestamp('2019-11-19 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-12-06 00:00:00'), Timestamp('2019-12-13 00:00:00'), Timestamp('2019-12-19 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-04-15 00:00:00'), Timestamp('2020-04-28 00:00:00'), Timestamp('2020-05-20 00:00:00'), Timestamp('2020-05-26 00:00:00'), Timestamp('2020-06-02 00:00:00'), Timestamp('2020-06-04 00:00:00'), Timestamp('2020-06-25 00:00:00'), Timestamp('2020-07-06 00:00:00'), Timestamp('2020-07-10 00:00:00'), Timestamp('2020-07-16 00:00:00'), Timestamp('2020-07-23 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-08-10 00:00:00'), Timestamp('2020-08-27 00:00:00'), Timestamp('2020-09-01 00:00:00'), Timestamp('2020-09-04 00:00:00'), Timestamp('2020-09-22 00:00:00'), Timestamp('2020-10-06 00:00:00'), Timestamp('2020-10-19 00:00:00'), Timestamp('2020-12-05 00:00:00'), Timestamp('2020-12-28 00:00:00'), Timestamp('2021-01-11 00:00:00'), Timestamp('2021-01-19 00:00:00'), Timestamp('2021-02-02 00:00:00'), Timestamp('2021-02-03 00:00:00')]","[4, 13, 1, 7, 21, 20, 7, 14, 11, 4, 7, 10, 7, 6, 49, 69, 13, 22, 6, 7, 2, 21, 11, 4, 6, 7, 14, 4, 17, 5, 3, 18, 14, 13, 47, 23, 14, 8, 14, 1, 1]"
10946,29378785,"[109.2, 109.2, 92.4, 84.0, 25.2, 121.8, 180.60000000000002, 25.2, 84.0, 29.4, 12.6, 37.8, 50.4, 92.4, 12.6, 105.0, 67.2, 168.0, 109.2, 50.4, 109.2, 200, 200, 33.6, 117.6, 200, 200, 8.4, 79.8, 109.2, 200, 109.2, 84.0, 200, 109.2, 200, 200, 67.2, 109.2, 200, 109.2, 33.6, 109.2, 109.2, 42.0, 25.2, 58.8, 29.4, 200, 67.2, 79.8, 88.2, 42.0, 200, 46.2, 109.2, 200, 159.6]","[Timestamp('2019-08-27 00:00:00'), Timestamp('2019-09-09 00:00:00'), Timestamp('2019-09-18 00:00:00'), Timestamp('2019-10-21 00:00:00'), Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-19 00:00:00'), Timestamp('2019-11-26 00:00:00'), Timestamp('2019-12-11 00:00:00'), Timestamp('2019-12-19 00:00:00'), Timestamp('2020-01-08 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-11 00:00:00'), Timestamp('2020-02-18 00:00:00'), Timestamp('2020-02-19 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-13 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-19 00:00:00'), Timestamp('2020-04-02 00:00:00'), Timestamp('2020-04-07 00:00:00'), Timestamp('2020-04-24 00:00:00'), Timestamp('2020-04-30 00:00:00'), Timestamp('2020-05-04 00:00:00'), Timestamp('2020-05-07 00:00:00'), Timestamp('2020-05-11 00:00:00'), Timestamp('2020-05-19 00:00:00'), Timestamp('2020-05-25 00:00:00'), Timestamp('2020-05-28 00:00:00'), Timestamp('2020-06-02 00:00:00'), Timestamp('2020-06-08 00:00:00'), Timestamp('2020-06-11 00:00:00'), Timestamp('2020-06-18 00:00:00'), Timestamp('2020-06-19 00:00:00'), Timestamp('2020-06-24 00:00:00'), Timestamp('2020-06-25 00:00:00'), Timestamp('2020-07-10 00:00:00'), Timestamp('2020-07-24 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-08-17 00:00:00'), Timestamp('2020-08-21 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-09-08 00:00:00'), Timestamp('2020-09-21 00:00:00'), Timestamp('2020-10-01 00:00:00'), Timestamp('2020-10-02 00:00:00'), Timestamp('2020-10-05 00:00:00'), Timestamp('2020-10-08 00:00:00'), Timestamp('2020-10-13 00:00:00'), Timestamp('2020-10-22 00:00:00'), Timestamp('2020-11-02 00:00:00'), Timestamp('2020-11-16 00:00:00'), Timestamp('2020-12-14 00:00:00'), Timestamp('2020-12-15 00:00:00'), Timestamp('2021-01-12 00:00:00'), Timestamp('2021-01-28 00:00:00')]","[13, 9, 33, 14, 15, 7, 15, 8, 20, 12, 4, 7, 6, 5, 7, 1, 5, 18, 3, 3, 14, 5, 17, 6, 4, 3, 4, 8, 6, 3, 5, 6, 3, 7, 1, 5, 1, 15, 14, 13, 11, 4, 7, 11, 13, 10, 1, 3, 3, 5, 9, 11, 14, 28, 1, 28, 16, 1]"
10946,29379661,"[4.2, 63.0, 12.6, 63.0, 8.4, 4.2, 16.8, 4.2, 25.2, 79.8, 8.4, 8.4, 8.4, 42.0, 50.4, 4.2, 25.2, 16.8, 4.2, 33.6, 58.8, 33.6, 25.2, 25.2, 8.4, 42.0, 8.4]","[Timestamp('2019-08-01 00:00:00'), Timestamp('2019-08-12 00:00:00'), Timestamp('2019-08-26 00:00:00'), Timestamp('2019-09-24 00:00:00'), Timestamp('2019-09-27 00:00:00'), Timestamp('2019-10-16 00:00:00'), Timestamp('2019-10-23 00:00:00'), Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-14 00:00:00'), Timestamp('2019-11-19 00:00:00'), Timestamp('2019-11-27 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2020-01-21 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-02-11 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-19 00:00:00'), Timestamp('2020-06-11 00:00:00'), Timestamp('2020-06-24 00:00:00'), Timestamp('2020-06-26 00:00:00'), Timestamp('2020-07-24 00:00:00'), Timestamp('2020-07-28 00:00:00'), Timestamp('2020-08-06 00:00:00'), Timestamp('2020-08-13 00:00:00'), Timestamp('2020-08-18 00:00:00'), Timestamp('2020-08-28 00:00:00'), Timestamp('2020-10-07 00:00:00')]","[11, 14, 29, 3, 19, 7, 12, 10, 5, 8, 26, 29, 2, 19, 6, 2, 113, 13, 2, 28, 4, 9, 7, 5, 10, 40, 1]"
10946,29635311,"[16.8, 58.8, 117.60000000000001, 29.4, 33.6, 12.6, 8.4, 58.8, 37.8, 42.0, 46.2, 46.2, 33.6, 12.6, 54.6, 12.6, 21.0, 109.2, 12.6, 96.6, 121.8, 0.0756, 0.1092, 0.0966, 109.2, 0.0756, 12.6, 21.0, 21.0, 0.0714, 42.0, 29.4, 37.8]","[Timestamp('2019-08-05 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-08-26 00:00:00'), Timestamp('2019-09-18 00:00:00'), Timestamp('2019-09-23 00:00:00'), Timestamp('2019-11-28 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-17 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-14 00:00:00'), Timestamp('2020-03-03 00:00:00'), Timestamp('2020-04-08 00:00:00'), Timestamp('2020-04-15 00:00:00'), Timestamp('2020-04-21 00:00:00'), Timestamp('2020-04-27 00:00:00'), Timestamp('2020-05-11 00:00:00'), Timestamp('2020-05-20 00:00:00'), Timestamp('2020-05-26 00:00:00'), Timestamp('2020-06-10 00:00:00'), Timestamp('2020-06-19 00:00:00'), Timestamp('2020-06-25 00:00:00'), Timestamp('2020-07-02 00:00:00'), Timestamp('2020-07-09 00:00:00'), Timestamp('2020-07-22 00:00:00'), Timestamp('2020-07-23 00:00:00'), Timestamp('2020-08-10 00:00:00'), Timestamp('2020-08-12 00:00:00'), Timestamp('2020-08-18 00:00:00'), Timestamp('2020-08-31 00:00:00'), Timestamp('2020-09-21 00:00:00'), Timestamp('2020-10-09 00:00:00'), Timestamp('2021-01-12 00:00:00'), Timestamp('2021-02-01 00:00:00')]","[8, 13, 23, 5, 66, 11, 8, 50, 9, 18, 36, 7, 6, 6, 14, 9, 6, 15, 9, 6, 7, 7, 13, 1, 18, 2, 6, 13, 21, 18, 95, 20, 1]"
