Wholesaler,Date,HLs,Materials
29606863,2019-08-12,"[1.584, 16.8, 4.752, 28.8, 8.4, 8.4, 4.0, 4.2, 25.2]","[3338, 10946, 10957, 11574, 19898, 20614, 37961, 48859, 57005]"
29606863,2019-08-14,"[14.4, 6.4, 8.0, 16.8, 6.4, 13.5, 4.2, 32.4, 9.504, 4.2, 16.8]","[3372, 6013, 9974, 10946, 10965, 16550, 20614, 59848, 59874, 66989, 71317]"
29606863,2019-08-19,"[33.264, 4.752, 37.8, 25.2, 4.752]","[3337, 10957, 29777, 57005, 59873]"
29606863,2019-08-21,"[2.376, 28.8, 57.6, 4.2, 21.6, 13.5, 4.2, 12.6, 4.0, 3.6, 10.8, 4.2, 7.2]","[3338, 3372, 3410, 10947, 11574, 16550, 19898, 20614, 37961, 59847, 59848, 66989, 71317]"
29606863,2019-08-27,"[43.2, 8.0, 1.2, 16.8, 9.6, 9.0, 1.2, 12.6, 4.6008, 27.0]","[3372, 9974, 10611, 10946, 10965, 16519, 48537, 48859, 54232, 59848]"
29606863,2019-08-28,"[21.6, 28.8, 3.2, 4.2, 4.752, 21.6, 4.5, 9.0, 0.9504, 4.2, 16.2, 9.504]","[3372, 3410, 6013, 10947, 10957, 11574, 16519, 16550, 18827, 19898, 59848, 59874]"
29606863,2019-08-30,"[79.8, 12.6, 12.6, 4.2]","[10946, 19898, 20614, 66989]"
29606863,2019-09-03,"[1.584, 1.035, 14.4, 14.4, 13.5, 16.8, 6.0, 1.8, 27.0, 9.504]","[3338, 6108, 10965, 11574, 16550, 29777, 37961, 59847, 59848, 59874]"
29606863,2019-09-06,"[21.6, 14.4, 9.6, 14.4, 27.0, 4.0, 8.4, 3.6, 36.0]","[3372, 6013, 10965, 11574, 16550, 54639, 57005, 59847, 59848]"
29606863,2019-09-13,"[21.6, 7.2, 21.6, 9.0, 3.0672, 8.4, 1.8, 36.0, 2.0, 4.2]","[3372, 5983, 11574, 16519, 54232, 57005, 59847, 59848, 66780, 66989]"
29606863,2019-09-18,"[28.8, 7.2, 21.6, 22.5, 8.0, 16.2, 4.752]","[3372, 5983, 11574, 16550, 37961, 59848, 59873]"
29606863,2019-09-20,"[4.752, 28.8, 0.6, 4.5, 0.6, 8.4, 4.2, 0.9504, 8.4, 7.2]","[3337, 3372, 10611, 16550, 17028, 29777, 33335, 43113, 57005, 59847]"
29606863,2019-09-27,"[43.2, 6.4, 21.6, 18.0, 4.2, 4.2, 32.4, 4.752, 4.0, 2.4]","[3372, 10965, 11574, 16550, 19898, 48859, 59848, 59874, 63627, 71317]"
29606863,2019-10-03,"[28.8, 7.2, 4.8, 1.035, 0.6, 14.4, 13.5, 1.44, 0.9504, 1.2, 4.2, 0.0, 21.6, 4.752, 36.0, 8.4]","[3372, 5983, 6013, 6108, 10611, 11574, 16519, 18690, 43113, 48537, 48859, 58245, 59848, 59874, 62706, 62707]"
