Wholesaler,Latitude,Longitude
29606863.0,50.6455,2.9619
29378784.0,50.6978,2.2423
29379853.0,47.5382,6.4026
29379855.0,43.733,6.1765
29379861.0,46.8354,-0.7778
29379635.0,50.7263,2.6309
29379829.0,47.7954,6.4907
29378785.0,50.6177,2.3964
29379661.0,47.0833,2.4
29724733.0,45.8907,6.0097
29635311.0,49.827,4.2107
29378992.0,43.1228,6.0075
29379621.0,48.1211,-1.4597
29379639.0,50.702,2.7783
29595514.0,50.7518,2.2405
29379626.0,45.4168,4.312
29379862.0,46.4627,0.2287
40007881.0,48.8695,6.0403
29379632.0,,
29799562.0,49.4818,2.128
29379695.0,46.6501,5.4404
29563814.0,,
29379067.0,48.028,7.5004
29379676.0,43.4522,5.413
29379841.0,,
29379116.0,47.7528,7.0925
29379610.0,47.3556,-0.8589
29379830.0,46.7633,4.8393
29379283.0,45.0717,5.6425
29379684.0,43.4358,1.6628
29379651.0,50.0566,4.0745
29379820.0,46.6,-0.5582
29379646.0,50.676,2.8451
29379556.0,49.1816,-0.2839
29563817.0,44.7544,-0.5313
29379815.0,49.3331,1.0941
29379625.0,47.6089,2.1729
40016990.0,49.7394,2.2184
29379641.0,50.466,3.5001
29379865.0,47.6668,3.8206
29379622.0,47.8924,-1.991
29379566.0,45.8601,6.369
29563820.0,43.4801,-1.5556
29379838.0,,
29379692.0,47.3947,0.9161
29379682.0,45.6833,0.1667
29563834.0,47.8546,-2.8348
29379687.0,44.85,-0.2833
29563495.0,45.7309,6.0053
29379673.0,48.3,4.0833
29379633.0,50.5833,3.0667
29379857.0,48.9333,2.3
29379619.0,43.4018,3.6966
29378967.0,45.8,-1.0333
29379694.0,45.2627,5.6989
29379696.0,45.1642,0.5719
29379360.0,44.6287,-1.1406
29379663.0,45.1203,1.9732
29379650.0,50.2771,3.7939
29379859.0,43.45,6.6833
29379658.0,45.7167,-0.3
29431121.0,48.8164,2.4937
29379668.0,48.8427,-3.139
29563830.0,44.3601,2.5051
29379236.0,48.5333,-4.3167
29563832.0,43.6043,1.4437
29379377.0,47.5,-0.5833
29379667.0,,
29379826.0,48.7833,2.4667
29379608.0,44.662,1.4835
29379437.0,47.6703,-2.9918
29630747.0,47.4988,-0.4302
29379671.0,49.7752,4.6817
29379828.0,45.6961,4.9389
29563836.0,47.65,-2.0833
29379680.0,49.14,-0.349
29379627.0,46.0,4.0333
29379901.0,42.6976,2.8954
29379672.0,43.0816,1.649
29379819.0,49.0435,2.1213
